slug,name,name_genitive,capital,population,councilor_count,status,voivodeship
lubelski,lubelski,Lubelskiego,Lublin,165359,29,planned,lubelskie
lubinski,lubiński,Lubińskiego,Lubin,102376,23,planned,dolnośląskie
lubliniecki,lubliniecki,Lublinieckiego,Lubliniec,74419,19,planned,śląskie
lukowski,łukowski,Łukowskiego,Łuków,100230,23,planned,lubelskie
lwowecki,lwówecki,Lwóweckiego,Lwówek Śląski,42465,17,planned,dolnośląskie
makowski,makowski,Makowskiego,Maków Mazowiecki,41254,17,planned,mazowieckie
malborski,malborski,Malborskiego,Malbork,60351,19,planned,pomorskie
miechowski,miechowski,Miechowskiego,Miechów,46305,17,planned,małopolskie
miedzychodzki,międzychodzki,Międzychodzkiego,Międzychód,35485,15,planned,wielkopolskie
miedzyrzecki,międzyrzecki,Międzyrzeckiego,Międzyrzecz,54439,17,planned,lubuskie
mielecki,mielecki,Mieleckiego,Mielec,132484,25,planned,podkarpackie
mikolowski,mikołowski,Mikołowskiego,Mikołów,100019,23,planned,śląskie
milicki,milicki,Milickiego,Milicz,35396,15,planned,dolnośląskie
minski,miński,Mińskiego,Mińsk Mazowiecki,159535,27,planned,mazowieckie
mlawski,mławski,Mławskiego,Mława,68556,19,planned,mazowieckie
mogilenski,mogileński,Mogileńskiego,Mogilno,43209,17,planned,kujawsko-pomorskie
moniecki,moniecki,Monieckiego,Mońki,36975,15,planned,podlaskie
mragowski,mrągowski,Mrągowskiego,Mrągowo,47074,17,planned,warmińsko-mazurskie
myslenicki,myślenicki,Myślenickiego,Myślenice,129984,25,planned,małopolskie
mysliborski,myśliborski,Myśliborskiego,Myślibórz,61756,19,planned,zachodniopomorskie
myszkowski,myszkowski,Myszkowskiego,Myszków,67049,19,planned,śląskie
nakielski,nakielski,Nakielskiego,Nakło nad Notecią,82435,21,planned,kujawsko-pomorskie
namyslowski,namysłowski,Namysłowskiego,Namysłów,41753,17,planned,opolskie
nidzicki,nidzicki,Nidzickiego,Nidzica,30207,15,planned,warmińsko-mazurskie
nizanski,niżański,Niżańskiego,Nisko,63189,19,planned,podkarpackie
nowodworski-mazowiecki,nowodworski,Nowodworskiego,Nowy Dwór Mazowiecki,79351,19,planned,mazowieckie
nowodworski-pomorski,nowodworski,Nowodworskiego,Nowy Dwór Gdański,33392,15,planned,pomorskie
nowomiejski,nowomiejski,Nowomiejskiego,Nowe Miasto Lubawskie,41726,17,planned,warmińsko-mazurskie
nowosadecki,nowosądecki,Nowosądeckiego,Nowy Sącz,214876,29,planned,małopolskie
nowosolski,nowosolski,Nowosolskiego,Nowa Sól,81809,21,planned,lubuskie
nowotarski,nowotarski,Nowotarskiego,Nowy Targ,189984,29,planned,małopolskie
nowotomyski,nowotomyski,Nowotomyskiego,Nowy Tomyśl,75015,19,planned,wielkopolskie
nyski,nyski,Nyskiego,Nysa,126897,25,planned,opolskie
obornicki,obornicki,Obornickiego,Oborniki,58657,17,planned,wielkopolskie
olawski,oławski,Oławskiego,Oława,77387,19,planned,dolnośląskie
olecki,olecki,Oleckiego,Olecko,31717,15,planned,warmińsko-mazurskie
oleski,oleski,Oleskiego,Olesno,60798,19,planned,opolskie
olesnicki,oleśnicki,Oleśnickiego,Oleśnica,106706,23,planned,dolnośląskie
olkuski,olkuski,Olkuskiego,Olkusz,105000,23,planned,małopolskie
olsztynski,olsztyński,Olsztyńskiego,Olsztyn,130560,25,planned,warmińsko-mazurskie
opatowski,opatowski,Opatowskiego,Opatów,47876,17,planned,świętokrzyskie
opoczynski,opoczyński,Opoczyńskiego,Opoczno,71234,19,planned,łódzkie
opolski-lubelski,opolski,Opolskiego,Opole Lubelskie,55078,17,planned,lubelskie
opolski-opolski,opolski,Opolskiego,Opole,120754,25,planned,opolskie
ostrodzki,ostródzki,Ostródzkiego,Ostróda,98242,21,planned,warmińsko-mazurskie
ostrolecki,ostrołęcki,Ostrołęckiego,Ostrołęka,87397,21,planned,mazowieckie
ostrowiecki,ostrowiecki,Ostrowieckiego,Ostrowiec Świętokrzyski,98766,21,planned,świętokrzyskie
ostrowski-mazowiecki,ostrowski,Ostrowskiego,Ostrów Mazowiecka,67854,19,planned,mazowieckie
ostrowski-wielkopolski,ostrowski,Ostrowskiego,Ostrów Wielkopolski,157734,27,planned,wielkopolskie
ostrzeszowski,ostrzeszowski,Ostrzeszowskiego,Ostrzeszów,54319,17,planned,wielkopolskie
oswiecimski,oświęcimski,Oświęcimskiego,Oświęcim,147678,27,planned,małopolskie
otwocki,otwocki,Otwockiego,Otwock,126669,25,planned,mazowieckie
pabianicki,pabianicki,Pabianickiego,Pabianice,118704,23,planned,łódzkie
pajeczanski,pajęczański,Pajęczańskiego,Pajęczno,48086,17,planned,łódzkie
parczewski,parczewski,Parczewskiego,Parczew,31832,15,planned,lubelskie
piaseczynski,piaseczyński,Piaseczyńskiego,Piaseczno,217738,29,planned,mazowieckie
pilski,pilski,Pilskiego,Piła,129629,25,planned,wielkopolskie
pinczowski,pińczowski,Pińczowskiego,Pińczów,36283,15,planned,świętokrzyskie
piotrkowski,piotrkowski,Piotrkowskiego,Piotrków Trybunalski,89717,21,planned,łódzkie
piski,piski,Piskiego,Pisz,51550,17,planned,warmińsko-mazurskie
pleszewski,pleszewski,Pleszewskiego,Pleszew,60871,19,planned,wielkopolskie
